Video,Event,Start_time,End Time,Start_frame,End_frame,Bout_time
0428_21_19_29,Exp_social,291.73333333333335,301.46666666666664,8752,9043,9.733333333333333
0428_21_19_29,Exp_social,304.0,304.76666666666665,9120,9142,0.7666666666666667
0428_21_19_29,Exp_social,305.4,310.6333333333333,9162,9318,5.233333333333333
0428_21_19_29,Exp_social,311.93333333333334,312.93333333333334,9358,9387,1.0
0428_21_19_29,Exp_social,324.06666666666666,325.03333333333336,9722,9750,0.9666666666666667
0428_21_19_29,Exp_social,326.3666666666667,328.1,9791,9842,1.7333333333333334
0428_21_19_29,Exp_social,332.2,333.3666666666667,9966,10000,1.1666666666666667
0428_21_19_29,Exp_social,364.5,365.26666666666665,10935,10957,0.7666666666666667
0428_21_19_29,Exp_social,375.1666666666667,376.4,11255,11291,1.2333333333333334
0428_21_19_29,Exp_social,393.5,394.3333333333333,11805,11829,0.8333333333333334
0428_21_19_29,Exp_social,396.1666666666667,396.73333333333335,11885,11901,0.5666666666666667
0428_21_19_29,Exp_social,410.8,411.3666666666667,12324,12340,0.5666666666666667
0428_21_19_29,Exp_social,430.1333333333333,433.93333333333334,12904,13017,3.8
0428_21_19_29,Exp_social,442.5,445.96666666666664,13275,13378,3.466666666666667
0428_21_19_29,Exp_social,451.03333333333336,452.2,13531,13565,1.1666666666666667
0428_21_19_29,Exp_social,477.76666666666665,478.26666666666665,14333,14347,0.5
0428_21_19_29,Exp_social,497.1333333333333,501.3666666666667,14914,15040,4.233333333333333
0428_21_19_29,Exp_social,502.2,503.0,15066,15089,0.8
0428_21_19_29,Exp_social,506.76666666666665,507.53333333333336,15203,15225,0.7666666666666667
0428_21_19_29,Exp_social,509.76666666666665,514.0,15293,15419,4.233333333333333
0428_21_19_29,Exp_social,514.5,528.3333333333334,15435,15849,13.833333333333334
0428_21_19_29,Exp_social,532.5,535.8333333333334,15975,16074,3.3333333333333335
0428_21_19_29,Exp_social,586.4666666666667,587.4666666666667,17594,17623,1.0
0428_21_19_29,Exp_social,594.2666666666667,595.3666666666667,17828,17860,1.1
0428_21_19_29,Exp_social,609.0666666666667,612.4333333333333,18272,18372,3.3666666666666667
0428_21_19_29,Exp_withdraw,54.03333333333333,55.03333333333333,1621,1650,1.0
0428_21_19_29,Exp_withdraw,122.73333333333333,124.36666666666666,3682,3730,1.6333333333333333
0428_21_19_29,Exp_withdraw,178.73333333333332,180.0,5362,5399,1.2666666666666666
0428_21_19_29,Exp_withdraw,181.2,181.76666666666668,5436,5452,0.5666666666666667
0428_21_19_29,Exp_withdraw,182.43333333333334,183.13333333333333,5473,5493,0.7
0428_21_19_29,Exp_withdraw,322.93333333333334,323.3,9688,9698,0.36666666666666664
0428_21_19_29,Exp_withdraw,472.4,473.5,14172,14204,1.1
0428_21_19_29,Exp_withdraw,570.6,570.9,17118,17126,0.3
0428_21_19_29,Exp_withdraw,590.6333333333333,591.4333333333333,17719,17742,0.8
0428_21_19_29,Both_social,8.366666666666667,10.033333333333333,251,300,1.6666666666666667
0428_21_19_29,Both_social,47.7,50.36666666666667,1431,1510,2.6666666666666665
0428_21_19_29,Both_social,222.43333333333334,222.73333333333332,6673,6681,0.3
0428_21_19_29,Both_social,587.5333333333333,588.0333333333333,17626,17640,0.5
0428_21_19_29,Both_social,616.5666666666667,617.2666666666667,18497,18517,0.7
0428_20_48_07,Exp_social,80.06666666666666,81.36666666666666,2402,2440,1.3
0428_20_48_07,Exp_social,118.23333333333333,118.83333333333333,3547,3564,0.6
0428_20_48_07,Exp_social,155.16666666666666,157.9,4655,4736,2.7333333333333334
0428_20_48_07,Exp_social,162.16666666666666,162.66666666666666,4865,4879,0.5
0428_20_48_07,Exp_social,171.96666666666667,176.73333333333332,5159,5301,4.766666666666667
0428_20_48_07,Exp_social,179.36666666666667,180.7,5381,5420,1.3333333333333333
0428_20_48_07,Exp_social,256.06666666666666,257.6,7682,7727,1.5333333333333334
0428_20_48_07,Exp_social,292.3666666666667,295.03333333333336,8771,8850,2.6666666666666665
0428_20_48_07,Exp_social,309.03333333333336,309.7,9271,9290,0.6666666666666666
0428_20_48_07,Exp_social,329.03333333333336,331.03333333333336,9871,9930,2.0
0428_20_48_07,Exp_social,333.06666666666666,335.03333333333336,9992,10050,1.9666666666666666
0428_20_48_07,Exp_social,374.93333333333334,375.9,11248,11276,0.9666666666666667
0428_20_48_07,Exp_social,377.93333333333334,380.3666666666667,11338,11410,2.433333333333333
0428_20_48_07,Exp_social,426.8666666666667,428.43333333333334,12806,12852,1.5666666666666667
0428_20_48_07,Exp_social,451.6666666666667,454.1333333333333,13550,13623,2.466666666666667
0428_20_48_07,Exp_social,483.1333333333333,484.46666666666664,14494,14533,1.3333333333333333
0428_20_48_07,Exp_social,534.9,536.6333333333333,16047,16098,1.7333333333333334
0428_20_48_07,Exp_social,541.2,541.7,16236,16250,0.5
0428_20_48_07,Exp_social,550.6333333333333,552.8333333333334,16519,16584,2.2
0428_20_48_07,Exp_social,573.0333333333333,574.1666666666666,17191,17224,1.1333333333333333
0428_20_48_07,Exp_social,600.5666666666667,602.0,18017,18059,1.4333333333333333
0428_20_48_07,Exp_withdraw,6.066666666666666,9.533333333333333,182,285,3.466666666666667
0428_20_48_07,Exp_withdraw,23.9,25.7,717,770,1.8
0428_20_48_07,Exp_withdraw,33.666666666666664,34.3,1010,1028,0.6333333333333333
0428_20_48_07,Exp_withdraw,61.43333333333333,63.46666666666667,1843,1903,2.033333333333333
0428_20_48_07,Exp_withdraw,78.3,79.66666666666667,2349,2389,1.3666666666666667
0428_20_48_07,Exp_withdraw,136.9,137.43333333333334,4107,4122,0.5333333333333333
0428_20_48_07,Exp_withdraw,166.9,167.2,5007,5015,0.3
0428_20_48_07,Exp_withdraw,209.36666666666667,210.33333333333334,6281,6309,0.9666666666666667
0428_20_48_07,Exp_withdraw,226.36666666666667,227.03333333333333,6791,6810,0.6666666666666666
0428_20_48_07,Exp_withdraw,252.03333333333333,252.66666666666666,7561,7579,0.6333333333333333
0428_20_48_07,Exp_withdraw,287.06666666666666,288.3666666666667,8612,8650,1.3
0428_20_48_07,Exp_withdraw,338.3666666666667,343.3666666666667,10151,10300,5.0
0428_20_48_07,Exp_withdraw,391.73333333333335,392.1333333333333,11752,11763,0.4
